"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene" "mgi_description"
1.40517403270355e-21 -0.543814158638219 0.124 0.308 2.64678580800041e-17 "4" "Csrp1" "cysteine and glycine-rich protein 1"
1.70258203627197e-21 -0.636426407864181 0.103 0.282 3.20698352352187e-17 "4" "Sgk1" "serum/glucocorticoid regulated kinase 1"
3.62796972460532e-19 -1.16167891341057 0.505 0.631 6.83364377326657e-15 "4" "Cst3" "cystatin C"
2.42881001813564e-13 -0.257034186573509 0.585 0.349 4.57490655016029e-09 "4" "Ctss" "cathepsin S"
1.08203075150486e-12 -0.616185485736221 0.21 0.337 2.03811312353455e-08 "4" "Cd44" "CD44 antigen"
1.1807234089348e-11 -3.64165832446841 0.184 0.31 2.2240106130696e-07 "4" "Hbb-bs" "hemoglobin, beta adult s chain"
1.41525001654534e-11 -0.70878599476729 0.373 0.486 2.66576493116481e-07 "4" "Ftl1" "ferritin light polypeptide 1"
3.97232715805767e-10 -0.76366267725814 0.167 0.272 7.48227543491742e-06 "4" "Lpcat1" "lysophosphatidylcholine acyltransferase 1"
5.1485793576576e-96 0.322828786720299 0.327 0.064 9.69786407808385e-92 "5" "Stab1" "stabilin 1"
1.8668367335666e-93 -1.87881991369865 0.684 0.921 3.51637367134605e-89 "5" "Fth1" "ferritin heavy polypeptide 1"
1.2659435721855e-58 0.592606785665339 0.746 0.428 2.3845313125686e-54 "5" "Selenop" "selenoprotein P"
6.00826164282462e-55 -0.988525908404382 0.68 0.846 1.13171616304245e-50 "5" "Tmsb10" "thymosin, beta 10"
9.77763211567977e-53 -1.27162163796883 0.013 0.371 1.84171478530944e-48 "5" "Ctss" "cathepsin S"
5.81436423747703e-45 -2.82945952438049 0.25 0.52 1.09519364777117e-40 "5" "Cd74" "CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)"
6.07660507631634e-43 -1.35486223700552 0.373 0.662 1.14458933217494e-38 "5" "LOC100862446" NA
2.62569058339058e-41 -1.06725254365898 0.048 0.35 4.94575078287449e-37 "5" "Lgals1" "lectin, galactose binding, soluble 1"
5.53583604520098e-34 -1.46123018713799 0.077 0.344 1.04273007747406e-29 "5" "Apoe" "apolipoprotein E"
5.67762597726281e-27 -0.892008428012493 0.252 0.49 1.06943762907722e-22 "5" "Ftl1" "ferritin light polypeptide 1"
7.88415442645056e-24 -0.933209930578741 0.103 0.313 1.48505932776623e-19 "5" "S100a6" "S100 calcium binding protein A6 (calcyclin)"
7.68921435358604e-23 -0.764414532467777 0.129 0.339 1.44834041564147e-18 "5" "Cd44" "CD44 antigen"
8.1392997718445e-22 -0.781159907902539 0.147 0.353 1.53311850502463e-17 "5" "Gm38733" NA
4.32523732463436e-16 -0.56068693835913 0.239 0.409 8.14701702468128e-12 "5" "Ctsb" "cathepsin B"
3.72385806173044e-12 -0.594457702558544 0.399 0.536 7.01425904507545e-08 "5" "Prdx1" "peroxiredoxin 1"
2.62746553914038e-10 -0.451625014075846 0.314 0.431 4.94909408952481e-06 "5" "Anxa2" "annexin A2"
5.56369653072642e-09 -0.96327458134632 0.533 0.597 0.000104797787852763 "5" "Psap" "prosaposin"
9.26931077156456e-09 -4.68491221606769 0.362 0.434 0.00017459673769319 "5" "Sftpc" "surfactant associated protein C"
1.84667856651778e-07 -0.312831748553719 0.349 0.442 0.00347840374789289 "5" "Bsg" "basigin"
0 2.11134683431627 0.991 0.211 0 "6" "Fcer1g" "Fc receptor, IgE, high affinity I, gamma polypeptide"
0 1.84216605929595 0.953 0.084 0 "6" "Csf1r" "colony stimulating factor 1 receptor"
0 1.53382042615573 0.826 0.048 0 "6" "Cx3cr1" "chemokine (C-X3-C motif) receptor 1"
0 1.16896839162157 0.808 0.097 0 "6" "Ear2" "eosinophil-associated, ribonuclease A family, member 2"
1.94265378775166e-282 1.04274295736782 0.83 0.161 3.65918267460903e-278 "6" "Sirpa" "signal-regulatory protein alpha"
3.76729081490505e-269 1.05566865980295 0.817 0.153 7.09606897895515e-265 "6" "Mpeg1" "macrophage expressed gene 1"
1.17750311293794e-252 1.63805196984981 0.964 0.384 2.2179448635299e-248 "6" "Ctsb" "cathepsin B"
2.47550819817542e-223 1.30183116233522 0.978 0.337 4.66286724208322e-219 "6" "Ctss" "cathepsin S"
1.4492814699838e-209 1.74671496265442 0.998 0.581 2.72986657686148e-205 "6" "Psap" "prosaposin"
1.49572914521942e-206 1.41289902548138 0.998 0.612 2.81735541793529e-202 "6" "Cst3" "cystatin C"
3.85287652367877e-197 0.325471107919876 0.788 0.169 7.25727822000133e-193 "6" "Ccl6" "chemokine (C-C motif) ligand 6"
3.09701000564815e-176 0.956578417470324 0.9 0.312 5.83352804663885e-172 "6" "Cd44" "CD44 antigen"
8.28167469359663e-144 0.460176177037315 0.746 0.197 1.55993624528586e-139 "6" "Lgals3" "lectin, galactose binding, soluble 3"
2.25512983891317e-137 1.10936833285232 0.808 0.318 4.24776256457685e-133 "6" "Apoe" "apolipoprotein E"
4.07582330703379e-84 0.259808860864724 0.464 0.121 7.67722078112884e-80 "6" "Clec7a" "C-type lectin domain family 7, member a"
2.18003097499985e-65 0.521998183615351 0.679 0.293 4.10630634450971e-61 "6" "S100a6" "S100 calcium binding protein A6 (calcyclin)"
3.96173282178045e-64 0.410177432397209 0.821 0.469 7.46231994310565e-60 "6" "Ftl1" "ferritin light polypeptide 1"
6.87617403520859e-56 0.408580107399101 0.926 0.642 1.29519614127189e-51 "6" "LOC100862446" NA
5.07608675337248e-45 -1.48811517268183 0.154 0.472 9.56131700865241e-41 "6" "Sparc" "secreted acidic cysteine rich glycoprotein"
5.09522862687023e-36 0.281895627008516 0.549 0.265 9.59737264157276e-32 "6" "Sgk1" "serum/glucocorticoid regulated kinase 1"
5.42929789820955e-26 -0.618014816715184 0.083 0.308 1.02266255210675e-21 "6" "Csrp1" "cysteine and glycine-rich protein 1"
4.16793684726599e-24 -0.735094165716264 0.054 0.262 7.85072584551021e-20 "6" "Igfbp7" "insulin-like growth factor binding protein 7"
1.02553934177258e-22 -0.935702236147306 0.074 0.274 1.93170590416283e-18 "6" "Lpcat1" "lysophosphatidylcholine acyltransferase 1"
1.20994202526507e-14 -0.424545385994458 0.292 0.444 2.27904679878929e-10 "6" "Bsg" "basigin"
2.08728950767627e-14 -0.782607148298549 0.194 0.345 3.93161851665902e-10 "6" "Lgals1" "lectin, galactose binding, soluble 1"
3.7670700008713e-10 -5.28818293984122 0.353 0.434 7.09565305364118e-06 "6" "Sftpc" "surfactant associated protein C"
9.98879657279982e-07 -1.10812534329141 0.496 0.511 0.0188148972245257 "6" "Cd74" "CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)"
0 4.17977794846437 0.986 0.282 0 "7" "Hbb-bs" "hemoglobin, beta adult s chain"
0 4.07289668226657 0.988 0.13 0 "7" "Hba-a1" "hemoglobin alpha, adult chain 1"
0 4.0191063399852 0.986 0.117 0 "7" "Hba-a2" "hemoglobin alpha, adult chain 2"
0 3.88426959729147 0.949 0.105 0 "7" "Hbb-bt" "hemoglobin, beta adult t chain"
0 1.03369223303046 0.457 0.032 0 "7" "Alas2" NA
4.16670598959348e-249 0.99494947257767 0.831 0.167 7.84840740199828e-245 "7" "Col1a1" "collagen, type I, alpha 1"
